sku_id,origin,date,actual,prediction,method
SKU-1002,2026-05-13,2026-05-14,308.0,257.0,seasonal7
SKU-1002,2026-05-13,2026-05-15,,248.0,seasonal7
SKU-1002,2026-05-13,2026-05-16,261.0,198.0,seasonal7
SKU-1002,2026-05-13,2026-05-17,294.0,248.0,seasonal7
SKU-1002,2026-05-13,2026-05-18,319.0,223.0,seasonal7
SKU-1002,2026-05-13,2026-05-19,223.0,265.0,seasonal7
SKU-1002,2026-05-13,2026-05-20,171.0,246.0,seasonal7
SKU-1002,2026-05-13,2026-05-21,426.0,257.0,seasonal7
SKU-1002,2026-05-13,2026-05-22,253.0,248.0,seasonal7
SKU-1002,2026-05-13,2026-05-23,202.0,198.0,seasonal7
SKU-1002,2026-05-13,2026-05-24,207.0,248.0,seasonal7
SKU-1002,2026-05-13,2026-05-25,242.0,223.0,seasonal7
SKU-1002,2026-05-13,2026-05-26,309.0,265.0,seasonal7
SKU-1002,2026-05-13,2026-05-27,329.0,246.0,seasonal7
SKU-1002,2026-05-13,2026-05-14,308.0,264.24313887707024,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-15,,228.5963130525221,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-16,261.0,222.30933910083678,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-17,294.0,239.26517987992247,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-18,319.0,245.34248483272668,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-19,223.0,239.81214248569944,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-20,171.0,258.7795328479806,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-21,426.0,264.24313887707024,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-22,253.0,228.5963130525221,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-23,202.0,222.30933910083678,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-24,207.0,239.26517987992247,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-25,242.0,245.34248483272668,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-26,309.0,239.81214248569944,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-27,329.0,258.7795328479806,weekday_shrinkage
SKU-1003,2026-05-13,2026-05-14,208.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-15,223.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-16,165.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-17,135.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-18,222.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-19,175.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-20,276.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-21,189.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-22,181.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-23,167.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-24,50.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-25,258.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-26,221.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-27,241.0,200.25,mean28
SKU-1003,2026-05-13,2026-05-14,208.0,206.0,seasonal7
SKU-1003,2026-05-13,2026-05-15,223.0,61.0,seasonal7
SKU-1003,2026-05-13,2026-05-16,165.0,201.0,seasonal7
SKU-1003,2026-05-13,2026-05-17,135.0,214.0,seasonal7
SKU-1003,2026-05-13,2026-05-18,222.0,178.0,seasonal7
SKU-1003,2026-05-13,2026-05-19,175.0,205.0,seasonal7
SKU-1003,2026-05-13,2026-05-20,276.0,122.0,seasonal7
SKU-1003,2026-05-13,2026-05-21,189.0,206.0,seasonal7
